constructor_name,total_points,wins,podiums,avg_finish,avg_position_gain,points_rank
Nichels,0.0,0,0,20.25,-12.5,81.0
OSCA,0.0,0,0,19.125,0.3333333333333333,81.0
Olson,0.0,0,0,23.0,7.0,81.0
Onyx,6.0,0,1,23.21153846153846,6.32,75.0
Osella,5.0,0,0,21.646825396825395,3.769230769230769,76.0
Pacific,0.0,0,0,21.848484848484848,4.261904761904762,81.0
Pankratz,0.0,0,0,25.0,-14.0,81.0
Parnelli,6.0,0,0,14.1875,-2.1875,75.0
Pawl,0.0,0,0,20.5,-2.5,81.0
Penske,23.0,1,3,13.565217391304348,2.772727272727273,60.0
Phillips,7.0,0,1,9.857142857142858,4.428571428571429,74.0
Politoys,0.0,0,0,24.0,2.0,81.0
Porsche,50.0,1,5,12.666666666666666,2.0422535211267605,46.0
Prost,35.0,0,3,13.272727272727273,1.1393939393939394,55.0
Protos,0.0,0,0,17.5,6.5,81.0
RAM,0.0,0,0,19.971830985915492,4.925925925925926,81.0
RB F1 Team,40.0,0,0,13.291666666666666,-1.1875,51.0
RE,0.0,0,0,29.0,,81.0
Racing Point,283.0,1,4,10.631578947368421,0.8266666666666667,26.0
Rae,0.0,0,0,22.0,7.0,81.0
Rebaque,0.0,0,0,24.0,6.0,81.0
Red Bull,7673.0,122,282,7.347715736040609,-0.7001287001287001,3.0
Renault,1777.0,35,103,11.168996188055909,-1.8823529411764706,6.0
Rial,6.0,0,0,24.416666666666668,1.65,75.0
Sauber,561.0,0,10,13.05973715651135,0.5169082125603864,13.0
Scarab,0.0,0,0,18.666666666666668,2.4,81.0
Schroeder,2.0,0,0,21.875,5.375,79.0
Scirocco,0.0,0,0,20.058823529411764,3.7142857142857144,81.0
Shadow,59.0,1,6,15.568720379146919,2.3152173913043477,43.0
Shadow-Ford,9.5,0,1,14.0,-5.461538461538462,71.0
Shadow-Matra,0.0,0,0,19.5,-6.0,81.0
Shannon,0.0,0,0,20.0,-2.0,81.0
Sherman,3.0,0,0,9.5,12.5,78.0
Simca,5.0,0,0,14.724137931034482,0.42857142857142855,76.0
Simtek,0.0,0,0,17.475,6.7631578947368425,81.0
Snowberger,0.0,0,0,26.0,-4.0,81.0
Spirit,0.0,0,0,16.32,6.782608695652174,81.0
Spyker,1.0,0,0,17.38235294117647,3.4705882352941178,80.0
Spyker MF1,0.0,0,0,17.125,2.0,81.0
Stebro,0.0,0,0,15.5,14.0,81.0
Stevens,0.0,0,0,18.6,-1.0,81.0
Stewart,47.0,1,5,13.89795918367347,-1.3265306122448979,49.0
Super Aguri,4.0,0,0,16.102564102564102,2.576923076923077,77.0
Surtees,54.0,0,2,16.442307692307693,1.3688888888888888,44.0
Sutton,0.0,0,0,30.0,1.0,81.0
Talbot-Lago,25.0,0,2,10.987804878048781,1.853658536585366,59.0
Team Lotus,995.0,45,114,13.05625717566016,-0.5863746958637469,8.0
Tec-Mec,0.0,0,0,13.0,4.0,81.0
Tecno,1.0,0,0,20.90909090909091,1.4,80.0
Theodore,2.0,0,0,19.265625,5.348837209302325,79.0
Token,0.0,0,0,18.25,5.666666666666667,81.0
Toleman,26.0,0,3,19.709923664122137,-2.5638297872340425,58.0
Toro Rosso,500.0,1,3,13.494402985074627,0.2857142857142857,15.0
Toyota,278.5,0,13,11.45,-0.9142857142857143,28.0
Trevis,1.0,0,0,15.166666666666666,8.5,80.0
Trojan,0.0,0,0,19.375,5.833333333333333,81.0
Turner,0.0,0,0,21.0,2.0,81.0
Tyrrell,711.0,23,77,13.164585698070374,1.7671394799054374,10.0
Vanwall,108.0,10,14,11.535211267605634,-4.957142857142857,38.0
Veritas,0.0,0,0,19.0,0.8888888888888888,81.0
Virgin,0.0,0,0,19.0,2.223684210526316,81.0
Watson,36.0,3,5,17.09090909090909,-7.636363636363637,54.0
Wetteroth,0.0,0,0,24.0,4.0,81.0
Williams,3641.0,114,314,11.097852028639618,-1.602665051483949,5.0
Wolf,79.0,3,13,14.39240506329114,0.44285714285714284,40.0
Zakspeed,2.0,0,0,22.774436090225564,3.5176470588235293,79.0
